locale,key,first_seen_in_file
de,a11y.decrease_qty,resources/js/components/admin/pos/PosComponent.vue
de,a11y.increase_qty,resources/js/components/admin/pos/PosComponent.vue
de,a11y.receipt_preview,resources/js/components/admin/pos/ReceiptComponent.vue
de,a11y.remove_item,resources/js/components/admin/pos/PosComponent.vue
de,a11y.skip_to_cart,resources/js/components/admin/pos/PosComponent.vue
de,button.kds_allergens_modal_close,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,button.kds_bump,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,button.kds_recall,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,button.release_table,resources/js/components/admin/pos/FloorplanComponent.vue
de,button.transfer_table,resources/js/components/admin/pos/FloorplanComponent.vue
de,kiosk.consent.privacy_body,resources/js/components/frontend/kiosk/ds/KsConsentModal.vue
de,kiosk.filters.,resources/js/components/frontend/kiosk/KioskCategoriesComponent.vue
de,kiosk.loyalty_screen.request_timeout,resources/js/components/frontend/kiosk/KioskLoyaltyComponent.vue
de,kiosk.max_quantity_reached,resources/js/components/frontend/kiosk/KioskCartComponent.vue
de,kiosk.pay_screen.tpe_stuck_help,resources/js/components/frontend/kiosk/KioskPaymentComponent.vue
de,kiosk.promo.applied,resources/js/components/frontend/kiosk/KioskCartComponent.vue
de,kiosk.promo.apply,resources/js/components/frontend/kiosk/KioskCartComponent.vue
de,kiosk.promo.label,resources/js/components/frontend/kiosk/KioskCartComponent.vue
de,kiosk.promo.loading,resources/js/components/frontend/kiosk/KioskCartComponent.vue
de,kiosk.promo.placeholder,resources/js/components/frontend/kiosk/KioskCartComponent.vue
de,kiosk.promo.remove,resources/js/components/frontend/kiosk/KioskCartComponent.vue
de,kiosk.wizard.step.viande.instruction_complete,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
de,kiosk.wizard.step.viande.instruction_many,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
de,kiosk.wizard.step.viande.instruction_one,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
de,kiosk.wizard.step.viande.instruction_remaining_many,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
de,kiosk.wizard.step.viande.instruction_remaining_one,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
de,kiosk.wizard.step.viande.meta_included,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
de,kiosk.wizard.step.viande.meta_paid,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
de,kiosk.wizard.step.viande.tap_to_choose,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
de,kiosk.wizard.supplement_decrease,resources/js/components/frontend/kiosk/steps/KioskStepSupplementsComponent.vue
de,kiosk.wizard.supplement_increase,resources/js/components/frontend/kiosk/steps/KioskStepSupplementsComponent.vue
de,kiosk.wizard.supplement_qty_label,resources/js/components/frontend/kiosk/steps/KioskStepSupplementsComponent.vue
de,kiosk.wizard.tap_to_choose,resources/js/components/frontend/kiosk/steps/KioskStepSupplementsComponent.vue
de,label.,resources/js/components/admin/pos/ReceiptComponent.vue
de,label.availability,resources/js/components/admin/items/ItemListComponent.vue
de,label.base_ht,resources/js/components/admin/pos/ReceiptComponent.vue
de,label.change_due,resources/js/components/admin/pos/PaymentComponent.vue
de,label.duplicata,resources/js/components/admin/pos/ReceiptDuplicataMarker.vue
de,label.floorplan,resources/js/components/admin/pos/FloorplanComponent.vue
de,label.free,resources/js/components/admin/pos/FloorplanComponent.vue
de,label.has_menu,resources/js/components/admin/settings/ItemCategory/ItemCategoryCreateComponent.vue
de,label.is_upsell,resources/js/components/admin/items/ItemCreateComponent.vue
de,label.is_upsell_hint,resources/js/components/admin/items/ItemCreateComponent.vue
de,label.kds_admin_polling_hint,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,label.kds_all_stations,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,label.kds_allergens_badge,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,label.kds_allergens_badge_aria,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,label.kds_allergens_modal_intro,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,label.kds_allergens_modal_none,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,label.kds_allergens_modal_title,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,label.kds_bar,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,label.kds_bump_local_only_notice,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,label.kds_cuisine_chaude,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,label.kds_cuisine_froide,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,label.kds_dismiss_hint,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
