locale,key,first_seen_in_file
bn,all.message.unauthorized,app/Exceptions/Handler.php
bn,all.message.url_not_found,app/Exceptions/Handler.php
bn,all.order.status.,app/Services/OrderService.php
bn,all.user_match,app/Services/UserAddressService.php
bn,ask.,app/Exports/ItemExport.php
bn,auth.old_password_mismatch,app/Http/Requests/ChangePasswordRequest.php
bn,auth.password_confirmation_mismatch,app/Http/Requests/AdministratorRequest.php
bn,installer.license.activation_help,resources/views/installer/license.blade.php
bn,installer.license.active_license_code,resources/views/installer/license.blade.php
bn,installer.license.active_process,resources/views/installer/license.blade.php
bn,installer.license.go_to_inilabs,resources/views/installer/license.blade.php
bn,installer.license.label.license_code,resources/views/installer/license.blade.php
bn,installer.license.login_to_inilabs,resources/views/installer/license.blade.php
bn,installer.license.next,resources/views/installer/license.blade.php
bn,installer.license.step_1,resources/views/installer/license.blade.php
bn,installer.license.step_2,resources/views/installer/license.blade.php
bn,installer.license.step_3,resources/views/installer/license.blade.php
bn,installer.license.templateTitle,resources/views/installer/license.blade.php
bn,installer.license.title,resources/views/installer/license.blade.php
bn,itemType.,resources/views/pdf/items_report.blade.php
bn,label.…,app/Http/Resources/SimpleOrderResource.php
bn,orderStatus.,resources/views/pdf/online_orders.blade.php
bn,orderType.,resources/views/pdf/online_orders.blade.php
bn,payment_gateway.,resources/views/pdf/sales_report.blade.php
bn,payment_status.,resources/views/pdf/sales_report.blade.php
bn,pos_payment_method.,resources/views/pdf/sales_report.blade.php
bn,statuse.,app/Exports/AdministratorExport.php
bn,validation.items_cap_exceeded,app/Rules/ValidJsonOrder.php
bn,validation.multi_variation.max,app/Rules/MultiVariationConstraint.php
bn,validation.multi_variation.min,app/Rules/MultiVariationConstraint.php
bn,validation.multi_variation.no_repeat,app/Rules/MultiVariationConstraint.php
